epoch	step	loss	l1	ciou	train_iou	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	sec
75	218728	1.5182	0.0445	0.6478	0.4672	0.8503	0.2107	0.3521	0.1913	0.0505	0.0035	0.2026	0.0081	38409
76	221606	1.5169	0.0445	0.6471	0.4682	0.8466	0.2107	0.3592	0.1866	0.0423	0.0023	0.2014	0.0092	38914
77	224484	1.5131	0.0444	0.6455	0.4693	0.8428	0.1999	0.3357	0.1808	0.0423	0.0012	0.2029	-0.0031	39420
78	227362	1.5005	0.0440	0.6403	0.4728	0.8389	0.2047	0.3333	0.1831	0.0469	0.0035	0.2013	0.0034	39925
79	230240	1.4935	0.0436	0.6377	0.4753	0.8351	0.2004	0.3427	0.1761	0.0270	0.0035	0.2009	-0.0004	40430
80	233118	1.4898	0.0435	0.6362	0.4757	0.8312	0.2060	0.3392	0.1901	0.0469	0.0059	0.2040	0.0020	40935
81	235996	1.4855	0.0434	0.6343	0.4774	0.8272	0.2089	0.3509	0.1878	0.0481	0.0023	0.2034	0.0055	41441
82	238874	1.4780	0.0432	0.6310	0.4801	0.8232	0.2041	0.3462	0.1925	0.0411	0.0012	0.2000	0.0041	41945
83	241752	1.4736	0.0428	0.6299	0.4805	0.8192	0.2106	0.3415	0.1995	0.0387	0.0023	0.2018	0.0087	42452
84	244630	1.4672	0.0426	0.6271	0.4830	0.8152	0.2042	0.3415	0.1808	0.0387	0.0000	0.1996	0.0046	42957
