epoch	step	loss	l1	ciou	train_iou	train_mIoU	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	sec
62	630	0.3610	0.0139	0.1457	0.8561	0.8679	0.3639	0.2278	0.4478	0.0746	0.0000	0.0000	0.1209	0.1075	316
63	640	0.3749	0.0144	0.1514	0.8504	0.8454	0.3472	0.2232	0.4279	0.0846	0.0000	0.0000	0.1199	0.1040	321
64	650	0.3671	0.0144	0.1476	0.8544	0.8642	0.3306	0.2251	0.4179	0.0746	0.0050	0.0000	0.1182	0.1078	326
65	660	0.3335	0.0127	0.1350	0.8666	0.8825	0.3143	0.2267	0.4279	0.0846	0.0050	0.0000	0.1143	0.1130	331
66	670	0.3601	0.0144	0.1440	0.8578	0.8883	0.2982	0.2299	0.4279	0.0846	0.0100	0.0000	0.1194	0.1109	336
67	680	0.3190	0.0128	0.1275	0.8739	0.8806	0.2824	0.2209	0.4129	0.0746	0.0050	0.0000	0.1172	0.1041	341
68	690	0.3403	0.0128	0.1383	0.8634	0.8782	0.2668	0.2277	0.4428	0.0896	0.0149	0.0000	0.1196	0.1085	345
69	700	0.3268	0.0130	0.1308	0.8711	0.8719	0.2515	0.2230	0.4129	0.0896	0.0000	0.0000	0.1152	0.1085	350
70	710	0.3346	0.0127	0.1354	0.8660	0.8867	0.2365	0.2231	0.4378	0.0746	0.0050	0.0000	0.1183	0.1050	355
71	720	0.2740	0.0114	0.1086	0.8925	0.8966	0.2219	0.2291	0.4129	0.0697	0.0100	0.0000	0.1183	0.1117	360
72	730	0.3238	0.0119	0.1321	0.8698	0.8941	0.2075	0.2259	0.4229	0.0896	0.0050	0.0000	0.1186	0.1078	365
73	740	0.3092	0.0121	0.1243	0.8769	0.8916	0.1935	0.2252	0.4328	0.0896	0.0050	0.0000	0.1173	0.1086	370
74	750	0.3415	0.0132	0.1379	0.8637	0.8856	0.1799	0.2248	0.4428	0.0746	0.0050	0.0000	0.1220	0.1037	375
75	760	0.2757	0.0104	0.1118	0.8892	0.9028	0.1667	0.2242	0.4328	0.0796	0.0050	0.0000	0.1180	0.1069	379
76	770	0.2726	0.0104	0.1102	0.8909	0.8978	0.1539	0.2192	0.4279	0.0846	0.0050	0.0000	0.1140	0.1061	384
77	780	0.2958	0.0113	0.1196	0.8817	0.8841	0.1415	0.2298	0.4328	0.0896	0.0100	0.0000	0.1207	0.1099	389
78	790	0.2710	0.0103	0.1099	0.8910	0.9011	0.1296	0.2257	0.4378	0.0796	0.0000	0.0000	0.1190	0.1077	394
79	800	0.2554	0.0096	0.1037	0.8971	0.8976	0.1181	0.2267	0.4478	0.0896	0.0050	0.0000	0.1197	0.1074	399
80	810	0.2545	0.0099	0.1024	0.8983	0.9017	0.1071	0.2257	0.4478	0.0796	0.0050	0.0000	0.1179	0.1089	403
81	820	0.2516	0.0101	0.1007	0.9002	0.9182	0.0965	0.2296	0.4428	0.0796	0.0100	0.0000	0.1184	0.1124	408
82	830	0.2282	0.0088	0.0922	0.9084	0.9150	0.0865	0.2282	0.4328	0.0746	0.0000	0.0000	0.1186	0.1102	413
83	840	0.2499	0.0095	0.1012	0.8996	0.9160	0.0769	0.2257	0.4378	0.0846	0.0050	0.0000	0.1206	0.1059	418
84	850	0.2369	0.0091	0.0958	0.9049	0.9075	0.0679	0.2288	0.4527	0.0846	0.0050	0.0000	0.1202	0.1101	423
85	860	0.2521	0.0095	0.1024	0.8985	0.9112	0.0593	0.2276	0.4527	0.0746	0.0050	0.0000	0.1202	0.1086	428
86	870	0.2218	0.0085	0.0896	0.9111	0.9163	0.0514	0.2258	0.4179	0.0697	0.0050	0.0000	0.1189	0.1081	433
87	880	0.2336	0.0091	0.0940	0.9066	0.9191	0.0439	0.2260	0.4279	0.0796	0.0000	0.0000	0.1193	0.1074	437
88	890	0.2365	0.0094	0.0947	0.9060	0.9024	0.0371	0.2245	0.4328	0.0846	0.0050	0.0000	0.1182	0.1073	442
89	900	0.2331	0.0091	0.0938	0.9070	0.9183	0.0308	0.2261	0.4378	0.0796	0.0050	0.0000	0.1182	0.1088	447
90	910	0.2117	0.0080	0.0860	0.9147	0.9104	0.0250	0.2268	0.4179	0.0796	0.0100	0.0000	0.1193	0.1085	452
91	920	0.2130	0.0083	0.0858	0.9147	0.9173	0.0199	0.2247	0.4080	0.0746	0.0050	0.0000	0.1203	0.1056	457
92	930	0.2117	0.0086	0.0844	0.9162	0.9120	0.0153	0.2262	0.4328	0.0896	0.0050	0.0000	0.1194	0.1081	462
93	940	0.2113	0.0082	0.0852	0.9154	0.9223	0.0113	0.2277	0.4179	0.0796	0.0050	0.0000	0.1184	0.1104	467
94	950	0.2209	0.0084	0.0895	0.9111	0.9137	0.0079	0.2261	0.4328	0.0846	0.0050	0.0000	0.1182	0.1090	472
95	960	0.2360	0.0093	0.0947	0.9059	0.9124	0.0051	0.2262	0.4328	0.0796	0.0050	0.0000	0.1186	0.1085	476
96	970	0.2028	0.0078	0.0819	0.9186	0.9253	0.0029	0.2250	0.4229	0.0846	0.0000	0.0000	0.1184	0.1076	481
97	980	0.2167	0.0087	0.0867	0.9139	0.9191	0.0013	0.2261	0.4129	0.0796	0.0100	0.0000	0.1185	0.1089	486
98	990	0.2500	0.0100	0.1001	0.9008	0.9148	0.0004	0.2256	0.4129	0.0746	0.0050	0.0000	0.1188	0.1080	491
99	1000	0.2234	0.0089	0.0895	0.9111	0.9133	0.0000	0.2259	0.4378	0.0846	0.0100	0.0000	0.1177	0.1090	496
