epoch	step	loss	l1	ciou	train_iou	train_mIoU	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	sec
64	650	1.8270	0.0788	0.7164	0.3626	0.3633	0.8078	0.1795	0.3085	0.0597	0.0050	0.0000	0.1616	0.0138	319
65	660	1.8273	0.0791	0.7159	0.3639	0.3643	0.8012	0.1759	0.2886	0.0597	0.0050	0.0000	0.1584	0.0143	324
66	670	1.8175	0.0796	0.7098	0.3690	0.3662	0.7946	0.1793	0.3184	0.0547	0.0000	0.0000	0.1601	0.0151	329
67	680	1.8267	0.0790	0.7159	0.3632	0.3661	0.7878	0.1828	0.3134	0.0697	0.0050	0.0000	0.1607	0.0189	334
68	690	1.8172	0.0773	0.7153	0.3640	0.3636	0.7810	0.1719	0.2886	0.0597	0.0050	0.0000	0.1559	0.0123	339
69	700	1.8215	0.0792	0.7127	0.3659	0.3693	0.7742	0.1716	0.2985	0.0597	0.0000	0.0000	0.1588	0.0095	344
70	710	1.8116	0.0755	0.7169	0.3631	0.3662	0.7672	0.1771	0.3234	0.0498	0.0000	0.0000	0.1609	0.0130	349
71	720	1.8304	0.0794	0.7166	0.3625	0.3633	0.7602	0.1713	0.2985	0.0547	0.0000	0.0000	0.1551	0.0123	353
72	730	1.8153	0.0779	0.7129	0.3663	0.3658	0.7531	0.1759	0.3035	0.0597	0.0000	0.0000	0.1632	0.0091	358
73	740	1.8161	0.0774	0.7145	0.3649	0.3659	0.7459	0.1732	0.3085	0.0547	0.0000	0.0000	0.1575	0.0121	363
74	750	1.8101	0.0775	0.7112	0.3679	0.3689	0.7387	0.1728	0.2935	0.0647	0.0000	0.0000	0.1608	0.0077	368
75	760	1.8075	0.0774	0.7102	0.3685	0.3718	0.7314	0.1793	0.3085	0.0647	0.0050	0.0000	0.1646	0.0107	373
76	770	1.8158	0.0789	0.7106	0.3681	0.3668	0.7240	0.1676	0.2786	0.0448	0.0000	0.0000	0.1529	0.0113	378
77	780	1.8071	0.0762	0.7132	0.3661	0.3681	0.7166	0.1710	0.2985	0.0597	0.0050	0.0000	0.1555	0.0117	383
78	790	1.8102	0.0775	0.7113	0.3679	0.3697	0.7091	0.1719	0.2985	0.0498	0.0000	0.0000	0.1572	0.0114	388
79	800	1.8115	0.0776	0.7116	0.3677	0.3675	0.7016	0.1658	0.2836	0.0448	0.0000	0.0000	0.1485	0.0140	393
80	810	1.8115	0.0776	0.7118	0.3671	0.3698	0.6940	0.1713	0.2935	0.0498	0.0000	0.0000	0.1546	0.0133	398
81	820	1.8058	0.0760	0.7129	0.3663	0.3702	0.6864	0.1719	0.3035	0.0597	0.0000	0.0000	0.1566	0.0119	403
82	830	1.8074	0.0779	0.7090	0.3702	0.3725	0.6787	0.1713	0.2935	0.0498	0.0000	0.0000	0.1562	0.0119	408
83	840	1.8020	0.0764	0.7100	0.3692	0.3700	0.6709	0.1719	0.2786	0.0498	0.0000	0.0000	0.1554	0.0133	413
84	850	1.8030	0.0769	0.7093	0.3700	0.3715	0.6631	0.1740	0.3085	0.0597	0.0000	0.0000	0.1592	0.0109	418
85	860	1.8020	0.0770	0.7085	0.3705	0.3681	0.6553	0.1714	0.3035	0.0597	0.0000	0.0000	0.1588	0.0094	423
86	870	1.8017	0.0765	0.7096	0.3697	0.3695	0.6474	0.1719	0.3035	0.0547	0.0000	0.0000	0.1591	0.0093	429
87	880	1.8090	0.0759	0.7149	0.3646	0.3671	0.6395	0.1674	0.2836	0.0448	0.0000	0.0000	0.1536	0.0104	434
88	890	1.8016	0.0773	0.7076	0.3714	0.3698	0.6315	0.1751	0.3035	0.0597	0.0000	0.0000	0.1571	0.0150	439
89	900	1.8088	0.0755	0.7156	0.3643	0.3684	0.6235	0.1730	0.3085	0.0697	0.0000	0.0000	0.1557	0.0144	444
90	910	1.7987	0.0749	0.7121	0.3678	0.3684	0.6155	0.1720	0.3085	0.0547	0.0000	0.0000	0.1571	0.0116	449
91	920	1.7978	0.0762	0.7084	0.3705	0.3707	0.6075	0.1720	0.3035	0.0498	0.0050	0.0000	0.1556	0.0130	454
92	930	1.7966	0.0750	0.7109	0.3687	0.3700	0.5994	0.1727	0.3035	0.0498	0.0050	0.0000	0.1565	0.0131	459
93	940	1.7951	0.0748	0.7105	0.3690	0.3687	0.5913	0.1691	0.2836	0.0547	0.0050	0.0000	0.1522	0.0141	464
94	950	1.7992	0.0749	0.7123	0.3672	0.3685	0.5831	0.1722	0.2786	0.0597	0.0050	0.0000	0.1532	0.0155	469
95	960	1.8019	0.0755	0.7121	0.3672	0.3703	0.5749	0.1725	0.2985	0.0597	0.0000	0.0000	0.1568	0.0123	474
96	970	1.8024	0.0757	0.7119	0.3680	0.3689	0.5668	0.1726	0.3184	0.0647	0.0000	0.0000	0.1551	0.0141	480
97	980	1.7945	0.0763	0.7065	0.3723	0.3721	0.5586	0.1781	0.3085	0.0647	0.0000	0.0000	0.1607	0.0140	485
98	990	1.7976	0.0758	0.7092	0.3701	0.3717	0.5503	0.1767	0.3035	0.0597	0.0000	0.0000	0.1598	0.0135	491
99	1000	1.7928	0.0755	0.7076	0.3715	0.3681	0.5421	0.1736	0.2935	0.0547	0.0000	0.0000	0.1564	0.0141	497
100	1010	1.8036	0.0756	0.7127	0.3672	0.3709	0.5339	0.1746	0.2935	0.0697	0.0000	0.0000	0.1566	0.0150	502
101	1020	1.7957	0.0763	0.7071	0.3718	0.3705	0.5256	0.1734	0.2985	0.0746	0.0000	0.0000	0.1568	0.0132	507
102	1030	1.7970	0.0752	0.7106	0.3686	0.3679	0.5174	0.1699	0.2935	0.0498	0.0000	0.0000	0.1530	0.0137	512
103	1040	1.7980	0.0762	0.7086	0.3705	0.3697	0.5091	0.1764	0.3085	0.0697	0.0000	0.0000	0.1585	0.0144	517
104	1050	1.7954	0.0757	0.7084	0.3706	0.3696	0.5008	0.1736	0.2836	0.0597	0.0000	0.0000	0.1561	0.0142	522
105	1060	1.8017	0.0753	0.7126	0.3671	0.3713	0.4926	0.1741	0.3085	0.0597	0.0000	0.0000	0.1600	0.0104	528
106	1070	1.7986	0.0764	0.7083	0.3706	0.3712	0.4843	0.1724	0.2886	0.0647	0.0000	0.0000	0.1573	0.0113	533
107	1080	1.7932	0.0755	0.7079	0.3714	0.3686	0.4760	0.1678	0.2836	0.0647	0.0000	0.0000	0.1498	0.0143	538
108	1090	1.7979	0.0761	0.7086	0.3711	0.3727	0.4678	0.1749	0.2935	0.0647	0.0000	0.0000	0.1595	0.0115	543
109	1100	1.8043	0.0781	0.7069	0.3713	0.3692	0.4595	0.1694	0.2935	0.0498	0.0000	0.0000	0.1515	0.0145	548
110	1110	1.7984	0.0757	0.7098	0.3698	0.3721	0.4513	0.1707	0.2985	0.0498	0.0000	0.0000	0.1559	0.0113	553
111	1120	1.7954	0.0757	0.7084	0.3707	0.3682	0.4431	0.1697	0.2985	0.0498	0.0000	0.0000	0.1518	0.0145	559
112	1130	1.7917	0.0737	0.7117	0.3685	0.3704	0.4349	0.1735	0.2786	0.0547	0.0000	0.0000	0.1570	0.0124	564
113	1140	1.7950	0.0762	0.7070	0.3717	0.3705	0.4267	0.1712	0.2836	0.0547	0.0000	0.0000	0.1519	0.0158	569
114	1150	1.7976	0.0766	0.7074	0.3719	0.3738	0.4185	0.1760	0.3035	0.0547	0.0000	0.0000	0.1621	0.0103	574
115	1160	1.7948	0.0767	0.7057	0.3728	0.3693	0.4104	0.1705	0.2985	0.0547	0.0000	0.0000	0.1545	0.0126	579
116	1170	1.7954	0.0755	0.7088	0.3711	0.3704	0.4023	0.1751	0.3085	0.0597	0.0000	0.0000	0.1598	0.0113	584
117	1180	1.7876	0.0749	0.7066	0.3726	0.3692	0.3942	0.1737	0.2985	0.0597	0.0000	0.0000	0.1591	0.0106	589
118	1190	1.7925	0.0748	0.7093	0.3706	0.3756	0.3861	0.1776	0.2985	0.0547	0.0050	0.0000	0.1617	0.0113	594
119	1200	1.7887	0.0767	0.7025	0.3763	0.3732	0.3781	0.1742	0.3085	0.0498	0.0000	0.0000	0.1593	0.0110	599
