epoch	step	loss	l1	ciou	train_iou	train_mIoU	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	sec
85	860	0.2180	0.0083	0.0883	0.9122	0.9239	0.0593	0.2205	0.4328	0.0746	0.0000	0.0000	0.1156	0.1079	424
86	870	0.2427	0.0094	0.0978	0.9028	0.9269	0.0514	0.2232	0.4378	0.0746	0.0050	0.0000	0.1200	0.1060	429
87	880	0.2291	0.0087	0.0929	0.9078	0.9312	0.0439	0.2273	0.4378	0.0796	0.0050	0.0000	0.1179	0.1119	434
88	890	0.2143	0.0082	0.0866	0.9140	0.9237	0.0371	0.2243	0.4279	0.0697	0.0000	0.0000	0.1196	0.1071	439
89	900	0.2288	0.0093	0.0912	0.9093	0.9284	0.0308	0.2252	0.4328	0.0796	0.0050	0.0000	0.1191	0.1088	444
90	910	0.2242	0.0088	0.0902	0.9104	0.9202	0.0250	0.2222	0.4328	0.0945	0.0050	0.0000	0.1166	0.1082	448
91	920	0.2193	0.0081	0.0893	0.9112	0.9265	0.0199	0.2249	0.4229	0.0746	0.0050	0.0000	0.1157	0.1125	453
92	930	0.2205	0.0085	0.0890	0.9116	0.9269	0.0153	0.2255	0.4328	0.0697	0.0050	0.0000	0.1167	0.1120	458
93	940	0.2071	0.0085	0.0823	0.9181	0.9244	0.0113	0.2246	0.4328	0.0796	0.0050	0.0000	0.1167	0.1111	463
94	950	0.2223	0.0086	0.0895	0.9110	0.9249	0.0079	0.2234	0.4478	0.0846	0.0000	0.0000	0.1177	0.1085	467
95	960	0.2039	0.0080	0.0821	0.9184	0.9293	0.0051	0.2239	0.4279	0.0896	0.0000	0.0000	0.1185	0.1084	472
96	970	0.2216	0.0084	0.0898	0.9108	0.9285	0.0029	0.2223	0.4179	0.0846	0.0050	0.0000	0.1192	0.1059	477
97	980	0.2135	0.0080	0.0868	0.9137	0.9252	0.0013	0.2235	0.4328	0.0697	0.0050	0.0000	0.1168	0.1096	482
98	990	0.2134	0.0082	0.0862	0.9142	0.9267	0.0004	0.2247	0.4428	0.0846	0.0050	0.0000	0.1184	0.1091	486
99	1000	0.1921	0.0071	0.0784	0.9220	0.9337	0.0000	0.2261	0.4229	0.0945	0.0050	0.0000	0.1158	0.1136	491
