epoch	step	loss	l1	ciou	train_iou	train_mIoU	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	sec
56	570	0.4799	0.0193	0.1917	0.8114	0.8337	0.8570	0.2331	0.4527	0.0945	0.0199	0.0000	0.1136	0.1207	285
57	580	0.4880	0.0196	0.1950	0.8087	0.8269	0.8512	0.2400	0.4726	0.1045	0.0100	0.0000	0.1221	0.1191	290
58	590	0.5069	0.0213	0.2003	0.8037	0.8017	0.8453	0.2222	0.4378	0.0846	0.0050	0.0000	0.1056	0.1180	295
59	600	0.5029	0.0212	0.1984	0.8052	0.8340	0.8392	0.2260	0.4378	0.0846	0.0000	0.0000	0.1154	0.1111	300
60	610	0.4804	0.0194	0.1918	0.8112	0.8341	0.8331	0.2374	0.4627	0.0796	0.0100	0.0000	0.1218	0.1166	305
61	620	0.5195	0.0215	0.2061	0.7972	0.8283	0.8269	0.2275	0.4826	0.0896	0.0000	0.0000	0.1114	0.1172	309
62	630	0.4635	0.0192	0.1836	0.8191	0.8371	0.8206	0.2339	0.4328	0.1045	0.0050	0.0000	0.1171	0.1184	314
63	640	0.4727	0.0191	0.1887	0.8146	0.8152	0.8142	0.2300	0.4478	0.0896	0.0100	0.0000	0.1165	0.1157	319
64	650	0.4508	0.0171	0.1827	0.8202	0.8419	0.8078	0.2326	0.4378	0.1095	0.0050	0.0000	0.1131	0.1211	324
65	660	0.4460	0.0173	0.1799	0.8233	0.8344	0.8012	0.2303	0.4428	0.0846	0.0050	0.0000	0.1113	0.1213	329
66	670	0.4271	0.0166	0.1721	0.8312	0.8090	0.7946	0.2365	0.4577	0.1045	0.0050	0.0000	0.1092	0.1293	334
67	680	0.5340	0.0218	0.2124	0.7916	0.8045	0.7878	0.2181	0.3881	0.1095	0.0100	0.0000	0.1052	0.1143	339
68	690	0.5014	0.0195	0.2021	0.8011	0.8266	0.7810	0.2407	0.4527	0.0995	0.0199	0.0000	0.1232	0.1192	343
69	700	0.4584	0.0181	0.1839	0.8189	0.8463	0.7742	0.2457	0.4726	0.1294	0.0050	0.0000	0.1146	0.1332	348
70	710	0.3860	0.0155	0.1543	0.8477	0.8550	0.7672	0.2372	0.4726	0.0896	0.0050	0.0000	0.1205	0.1179	353
71	720	0.3899	0.0154	0.1565	0.8458	0.8594	0.7602	0.2380	0.4876	0.0846	0.0000	0.0000	0.1174	0.1214	358
72	730	0.3950	0.0146	0.1610	0.8412	0.8388	0.7531	0.2352	0.4726	0.0995	0.0000	0.0000	0.1176	0.1181	363
73	740	0.4048	0.0164	0.1613	0.8406	0.8533	0.7459	0.2329	0.4577	0.0846	0.0050	0.0000	0.1210	0.1130	368
74	750	0.4257	0.0164	0.1718	0.8306	0.8557	0.7387	0.2343	0.4677	0.0896	0.0000	0.0000	0.1178	0.1184	373
